[2025-05-25 11:47:03,676] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,759] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,838] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,921] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,006] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,088] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,166] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,249] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,324] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,403] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,482] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,565] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,638] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,721] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,804] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,882] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:04,965] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,044] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,122] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,204] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,270] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,361] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,443] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,521] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,603] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,763] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,849] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,912] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:05,989] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,080] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,156] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,226] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,278] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,346] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,415] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,509] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:06,582] [ERROR] Error Insert to DB read of closed file
